City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,Impfondo,1.6381,18.0667,79.11,76,85,4.94,CG,2021-10-03 15:47:57
259,Springbok,-29.6643,17.8865,63.43,16,0,11.45,ZA,2021-10-03 15:47:57
260,Turukhansk,65.8167,87.9833,30.47,98,96,4.14,RU,2021-10-03 15:47:57
261,Ostrovnoy,68.0531,39.5131,47.01,82,55,18.03,RU,2021-10-03 15:47:58
262,Vostok,46.4856,135.8833,46.36,94,50,5.84,RU,2021-10-03 15:47:58
263,San Jose,37.3394,-121.895,79.92,38,20,0.0,US,2021-10-03 15:45:13
264,Victor Harbor,-35.5667,138.6167,57.79,84,17,21.9,AU,2021-10-03 15:46:57
265,Jinchang,38.4953,102.1739,51.75,35,95,4.7,CN,2021-10-03 15:47:59
266,Krotovka,53.2858,51.1686,48.67,78,100,4.43,RU,2021-10-03 15:47:59
267,Avera,33.194,-82.5271,81.45,49,72,2.95,US,2021-10-03 15:47:14
268,Severo-Kurilsk,50.6789,156.125,47.73,84,71,42.9,RU,2021-10-03 15:48:00
269,Birin,26.8865,88.0718,60.49,86,89,6.06,NP,2021-10-03 15:48:00
270,Adrar,20.5022,-10.0711,102.29,8,9,3.71,MR,2021-10-03 15:48:00
271,Doka,13.5167,35.7667,80.11,68,91,5.79,SD,2021-10-03 15:48:01
272,Jinhua,29.1078,119.6547,68.52,81,0,4.92,CN,2021-10-03 15:48:01
273,Besikduzu,41.052,39.2284,62.49,92,99,7.23,TR,2021-10-03 15:48:02
274,Talkha,31.0539,31.3779,72.82,61,0,10.27,EG,2021-10-03 15:48:02
275,Lagoa,39.05,-27.9833,71.04,89,100,10.94,PT,2021-10-03 15:48:02
276,Yenagoa,4.9247,6.2642,79.81,84,100,6.53,NG,2021-10-03 15:48:03
277,Yuki,36.3,139.8833,75.58,80,25,1.1,JP,2021-10-03 15:48:03
278,Hambantota,6.1241,81.1185,80.94,94,20,8.05,LK,2021-10-03 15:48:03
279,Salalah,17.0151,54.0924,82.49,83,75,11.5,OM,2021-10-03 15:48:04
280,Chipinge,-20.1883,32.6236,67.19,77,84,1.5,ZW,2021-10-03 15:48:04
281,Padang,-0.9492,100.3543,78.85,87,98,2.64,ID,2021-10-03 15:48:04
282,Qaqortoq,60.7167,-46.0333,46.9,48,2,6.87,GL,2021-10-03 15:48:05
283,George,-33.963,22.4617,56.75,62,40,13.8,ZA,2021-10-03 15:48:05
284,Tari,12.4086,4.4914,96.19,30,8,4.68,NG,2021-10-03 15:48:05
285,Suamico,44.6319,-88.0393,67.01,94,75,4.61,US,2021-10-03 15:48:06
286,Chabahar,25.2919,60.643,82.72,81,91,9.55,IR,2021-10-03 15:48:06
287,Emerald,-23.5333,148.1667,69.94,60,0,3.44,AU,2021-10-03 15:48:06
288,Deer Lake,49.1667,-57.4316,51.66,82,75,4.61,CA,2021-10-03 15:45:29
289,Tromso,69.6496,18.957,56.05,54,40,3.0,NO,2021-10-03 15:48:07
290,Port-Cartier,50.0334,-66.8654,52.02,78,100,5.19,CA,2021-10-03 15:48:07
291,Solnechnyy,50.7214,136.6319,36.03,74,59,4.88,RU,2021-10-03 15:48:08
292,Katsuura,35.1333,140.3,70.11,80,1,6.06,JP,2021-10-03 15:48:08
